benchmark,kernel_cpu_millis,user_cpu_millis,wall_clock_millis
ls /etc,0,0,2.946705
ls /dev,0,0,3.589911
ls /etc,0,0,2.575554
ls /etc,0,0,2.135011
ls /dev,0,0,1.906717
ls /dev,0,0,1.9905639999999998
ls /dev,10,0,2.251025
ls /etc,0,0,1.934683
ls /etc,0,10,1.889235
ls /etc,0,0,1.7912430000000001
ls /dev,0,0,1.809902
ls /etc,0,0,1.882293
ls /dev,10,0,1.9026850000000002
ls /etc,0,0,2.080492
ls /dev,0,0,1.901565
ls /etc,0,0,2.736482
ls /etc,0,0,2.3584460000000003
ls /dev,0,0,2.280112
ls /dev,0,0,2.1294030000000004
ls /etc,0,0,2.154783
ls /dev,0,10,2.206264
ls /dev,0,0,2.048705
ls /dev,10,0,2.2276499999999997
ls /dev,0,0,2.21857
ls /dev,0,0,2.365428
ls /dev,0,0,2.179415
ls /dev,0,0,2.333632
ls /etc,0,0,2.121899
ls /dev,10,0,2.0012559999999997
ls /dev,0,0,1.895474
ls /dev,0,0,2.148004
ls /etc,0,0,2.026012
ls /etc,0,0,2.311875
ls /dev,0,0,2.024018
ls /etc,0,0,2.5639790000000002
ls /etc,10,0,2.772622
ls /etc,0,0,3.449272
ls /etc,0,0,3.5700990000000004
ls /etc,10,0,4.362150000000001
ls /etc,0,10,3.528995
ls /etc,0,0,2.443222
ls /etc,0,0,2.601333
ls /dev,0,0,3.035199
ls /etc,0,0,2.264634
ls /dev,0,0,2.160724
ls /dev,0,0,1.976509
ls /dev,0,0,2.128171
ls /etc,10,0,1.907289
ls /dev,0,10,1.767537
ls /etc,0,0,2.23267
ls /dev,0,0,2.2182069999999996
ls /dev,0,0,2.1545259999999997
ls /etc,0,0,1.824315
ls /etc,10,0,1.800142
ls /dev,0,0,1.740494
ls /dev,0,0,1.927422
ls /dev,0,0,1.8257480000000001
ls /etc,0,0,2.012617
ls /etc,0,0,2.263997
ls /etc,0,0,1.9977380000000002
ls /etc,10,0,2.113572
ls /etc,0,0,1.9643780000000002
ls /dev,0,0,1.924828
ls /dev,0,0,2.0830979999999997
ls /dev,0,0,1.9316069999999999
ls /etc,0,0,2.946278
ls /dev,10,0,2.257575
ls /etc,0,0,2.046402
ls /etc,0,10,2.092028
ls /etc,0,0,1.8026190000000002
ls /dev,0,0,1.812026
ls /etc,0,0,1.837628
ls /etc,0,0,1.94914
ls /dev,0,0,2.357469
ls /etc,0,0,2.1345330000000002
ls /etc,0,0,1.86825
ls /etc,0,0,2.015327
ls /etc,10,0,2.0781660000000004
ls /etc,0,0,2.093614
ls /dev,0,0,1.9701739999999999
ls /dev,0,10,1.94211
ls /etc,0,0,2.12412
ls /etc,0,0,1.930605
ls /etc,0,0,1.997985
ls /dev,0,0,2.306769
ls /etc,10,0,3.066431
ls /etc,0,0,3.750609
ls /dev,0,0,3.8900699999999997
ls /etc,10,0,4.226416
ls /dev,0,0,3.141734
ls /etc,0,0,3.3365959999999997
ls /etc,0,0,3.6033060000000003
ls /etc,0,0,2.767229
ls /dev,0,10,2.19729
ls /dev,10,0,2.31914
ls /etc,0,0,2.234796
ls /dev,0,0,2.055653
ls /etc,0,0,2.439612
ls /etc,0,0,3.021774
ls /etc,0,0,3.602033
ls /dev,10,0,3.879623
ls /etc,0,0,2.680265
ls /dev,0,0,2.0806560000000003
ls /dev,0,0,2.150855
ls /dev,0,10,1.8017210000000001
ls /etc,0,0,1.8227440000000001
ls /dev,0,0,1.9103869999999998
ls /dev,10,0,2.5633510000000004
ls /etc,0,0,2.084836
ls /etc,0,0,2.159969
ls /dev,0,0,1.872287
ls /etc,0,0,1.851172
ls /dev,0,0,1.8182669999999999
ls /dev,0,0,1.780165
ls /etc,10,0,1.85079
ls /dev,0,0,2.658041
ls /etc,0,0,1.928194
ls /dev,0,0,1.812356
ls /etc,0,10,1.9226670000000001
ls /dev,0,0,2.011975
ls /dev,0,0,2.012074
ls /etc,0,0,2.163074
ls /dev,0,0,1.8111970000000002
ls /etc,0,0,1.8834279999999999
ls /dev,0,0,1.9015
ls /dev,10,0,1.783901
ls /dev,0,0,3.24566
ls /etc,0,0,2.001531
ls /dev,0,0,2.04718
ls /etc,0,0,2.340271
ls /etc,10,0,3.0852019999999998
ls /dev,0,0,3.774986
ls /dev,0,0,3.939138
ls /etc,0,10,4.225338000000001
ls /dev,0,0,2.945381
ls /etc,0,0,3.4013009999999997
ls /dev,10,0,3.766575
ls /dev,0,0,2.363156
ls /dev,0,10,2.07192
ls /dev,0,0,2.126193
ls /dev,0,0,2.033435
ls /etc,0,0,1.8693659999999999
ls /dev,0,0,1.824981
ls /etc,0,0,1.9848919999999999
ls /dev,0,0,1.895343
ls /dev,0,0,1.9016490000000001
ls /dev,10,0,2.0133629999999996
ls /dev,0,0,2.9185499999999998
ls /etc,0,0,2.2106980000000003
ls /etc,0,10,1.865629
ls /dev,0,0,2.374082
ls /etc,0,0,2.265099
ls /etc,0,0,1.931419
ls /dev,0,0,1.9503949999999999
ls /dev,0,0,2.039843
ls /dev,0,0,2.079666
ls /dev,0,0,1.825359
ls /dev,0,0,1.825605
ls /dev,0,10,2.242066
ls /etc,10,0,3.1783979999999996
ls /dev,0,0,2.33642
ls /dev,0,0,1.79945
ls /dev,0,0,2.171347
ls /etc,0,0,2.216951
ls /dev,0,0,2.1055840000000003
ls /etc,10,0,1.8726509999999998
ls /etc,0,0,1.978278
ls /etc,0,0,1.9496909999999998
ls /dev,0,0,1.915499
ls /etc,0,0,1.86547
ls /dev,0,0,1.888683
ls /etc,10,0,1.864714
ls /dev,0,0,1.8771129999999998
ls /etc,0,0,2.7943640000000003
ls /etc,0,0,2.0898380000000003
ls /etc,0,0,2.101993
ls /dev,0,10,2.034901
ls /dev,0,0,2.0952100000000002
ls /etc,0,0,2.069439
ls /etc,10,0,1.9218970000000002
ls /etc,0,0,1.8716139999999999
ls /dev,0,0,1.8653039999999999
ls /dev,0,0,1.7745140000000001
ls /dev,0,0,1.790565
ls /dev,0,0,1.826678
